Age,Annual Income,Home Ownership,Employment Length (Years),Loan Purpose,Loan Grade,Loan Amount,Interest Rate (%),Loan to Income Ratio,Previous Default History,Credit History Length (Years),Debt to Income Ratio,Credit Utilization Ratio,Number of Open Credit Accounts,Number of Late Payments,"Loan Status (0=Approved, 1=Default)"
55,107840,OWN,17,MEDICAL,D,18572,12.04,0.17,N,26,0.19,0.21,9,1,0
42,114457,RENT,6,VENTURE,C,45813,7.93,0.4,Y,7,0.21,0.89,2,10,1
27,47299,RENT,2,VENTURE,A,4543,21.51,0.1,N,5,0.53,0.12,7,0,0
58,76332,MORTGAGE,16,EDUCATION,C,38646,12.68,0.51,N,15,0.36,0.59,4,2,0
43,110510,MORTGAGE,2,HOMEIMPROVEMENT,B,21860,14.73,0.2,N,7,0.3,0.85,6,10,0
58,146366,RENT,13,PERSONAL,E,34687,15.98,0.24,N,32,0.22,0.21,11,9,1
41,131888,MORTGAGE,13,HOMEIMPROVEMENT,D,34716,21.63,0.26,N,13,0.19,0.32,1,0,0
48,34751,RENT,9,PERSONAL,C,4044,18.78,0.12,N,3,0.17,0.89,6,1,0
49,117631,RENT,9,EDUCATION,C,44020,21.25,0.37,N,18,0.08,0.67,1,11,0
54,90434,OWN,2,VENTURE,C,11871,19.68,0.13,N,19,0.11,0.92,4,11,1
25,124472,RENT,2,EDUCATION,C,18097,20.4,0.15,N,2,0.41,0.45,12,1,0
35,80683,MORTGAGE,8,EDUCATION,B,30433,20.24,0.38,N,13,0.2,0.35,10,11,0
48,111007,RENT,26,PERSONAL,E,1851,15.21,0.02,Y,18,0.37,0.21,13,2,1
40,35600,MORTGAGE,10,HOMEIMPROVEMENT,B,9645,12.54,0.27,N,13,0.35,0.36,2,7,0
33,25495,RENT,1,EDUCATION,E,12267,7.43,0.48,N,8,0.18,0.28,5,9,1
47,87990,MORTGAGE,26,VENTURE,A,18761,13.15,0.21,N,6,0.17,0.42,14,2,0
26,131555,OWN,0,MEDICAL,C,14646,6.45,0.11,N,7,0.51,0.78,5,4,0
62,94172,MORTGAGE,35,MEDICAL,A,43435,7.39,0.46,N,1,0.26,0.55,11,6,0
47,84796,RENT,24,EDUCATION,A,31436,9.38,0.37,N,28,0.59,0.36,14,10,0
31,56751,RENT,2,HOMEIMPROVEMENT,C,25286,10.89,0.45,Y,8,0.33,0.21,13,3,1
62,35250,MORTGAGE,7,PERSONAL,A,17427,17.06,0.49,N,37,0.55,0.8,8,4,1
35,83928,MORTGAGE,8,MEDICAL,A,18695,19.19,0.22,N,2,0.07,0.66,11,4,0
41,20111,RENT,10,HOMEIMPROVEMENT,A,18545,11.56,0.92,N,19,0.27,0.33,5,0,0
26,124648,MORTGAGE,3,MEDICAL,B,29795,21.87,0.24,N,7,0.2,0.65,4,9,0
57,140983,MORTGAGE,6,MEDICAL,D,13359,19.68,0.09,N,1,0.31,0.57,1,0,0
27,108877,RENT,7,HOMEIMPROVEMENT,B,24866,20.49,0.23,N,2,0.2,0.54,4,9,0
48,53005,OWN,15,PERSONAL,B,41843,7.76,0.79,N,29,0.17,0.62,3,8,0
39,76835,RENT,2,MEDICAL,B,45080,6.7,0.59,Y,12,0.57,0.91,5,5,1
50,40827,OWN,16,EDUCATION,C,14007,7.83,0.34,N,20,0.27,0.2,8,8,0
62,128956,MORTGAGE,38,HOMEIMPROVEMENT,A,25251,17.49,0.2,N,19,0.53,0.33,7,6,1
51,36389,RENT,1,EDUCATION,E,15043,20.68,0.41,N,15,0.5,0.32,8,5,1
62,94134,RENT,37,PERSONAL,A,49974,6.06,0.53,N,40,0.08,0.25,4,1,0
21,29888,RENT,2,EDUCATION,A,26997,8.99,0.9,N,2,0.46,0.31,1,3,0
38,67937,MORTGAGE,12,VENTURE,A,25565,12.94,0.38,N,10,0.23,0.29,6,7,0
38,85101,MORTGAGE,9,VENTURE,A,44309,12.93,0.52,N,3,0.14,0.48,12,10,0
21,107235,MORTGAGE,2,PERSONAL,C,3347,11.6,0.03,N,1,0.47,0.91,12,7,1
40,126598,MORTGAGE,8,EDUCATION,A,6543,7.57,0.05,Y,14,0.35,0.71,2,10,1
23,125627,MORTGAGE,1,VENTURE,B,6213,20.11,0.05,N,2,0.36,0.34,4,5,0
44,30006,OWN,11,PERSONAL,B,9854,19.56,0.33,N,8,0.39,0.45,1,5,0
47,114533,MORTGAGE,2,VENTURE,B,25183,13.78,0.22,N,20,0.36,0.93,8,4,0
37,54880,MORTGAGE,16,EDUCATION,B,48361,18.63,0.88,N,11,0.07,0.13,9,6,1
52,132684,OWN,5,VENTURE,A,10524,11.49,0.08,N,12,0.41,0.11,2,6,0
51,22035,MORTGAGE,26,MEDICAL,B,14859,20.55,0.67,N,23,0.5,0.35,10,7,1
46,110852,MORTGAGE,25,EDUCATION,B,9308,7.29,0.08,N,9,0.43,0.15,10,0,0
29,101132,OWN,9,HOMEIMPROVEMENT,B,25351,9.43,0.25,Y,6,0.11,0.11,6,1,0
49,148867,OWN,21,HOMEIMPROVEMENT,A,1691,20.33,0.01,N,4,0.12,0.19,6,5,0
27,63355,OWN,3,VENTURE,D,22909,18.59,0.36,N,3,0.41,0.91,2,10,1
54,25239,OWN,6,PERSONAL,B,6120,17.5,0.24,N,12,0.41,0.75,10,11,1
48,60721,RENT,25,HOMEIMPROVEMENT,D,11599,9.84,0.19,N,23,0.4,0.34,8,0,0
54,107802,RENT,15,PERSONAL,C,9076,20.28,0.08,N,27,0.16,0.33,13,0,0
54,137718,MORTGAGE,28,MEDICAL,E,9266,12.69,0.07,N,11,0.4,0.76,7,2,0
30,108920,RENT,1,EDUCATION,B,38778,15.98,0.36,Y,1,0.28,0.23,1,2,1
22,141786,OWN,0,MEDICAL,C,11633,15.68,0.08,N,3,0.45,0.4,13,3,1
29,84512,OWN,10,VENTURE,E,11120,7.16,0.13,N,10,0.55,0.38,2,4,0
58,47241,MORTGAGE,37,MEDICAL,C,12350,12.64,0.26,N,7,0.41,0.91,9,9,1
61,42054,RENT,12,HOMEIMPROVEMENT,A,23207,17.24,0.55,Y,19,0.3,0.89,13,0,1
35,129802,RENT,10,EDUCATION,A,18950,8.74,0.15,N,12,0.35,0.26,9,10,0
55,140747,RENT,22,EDUCATION,C,20520,13.35,0.15,N,31,0.27,0.71,5,7,0
27,45765,OWN,4,MEDICAL,D,27179,6.43,0.59,N,6,0.52,0.62,7,5,1
44,71543,OWN,16,MEDICAL,A,7439,11.15,0.1,N,12,0.33,0.24,7,7,0
30,76827,OWN,7,EDUCATION,B,25648,18.16,0.33,N,2,0.42,0.89,7,7,1
44,123674,RENT,10,EDUCATION,D,1125,21.23,0.01,N,18,0.59,0.59,8,10,1
59,144581,OWN,29,PERSONAL,B,16852,19.5,0.12,Y,11,0.3,0.52,6,0,0
55,23696,OWN,26,EDUCATION,A,21313,11.71,0.9,N,18,0.6,0.43,5,10,1
46,114436,RENT,21,VENTURE,A,32881,14.91,0.29,N,25,0.35,0.67,14,9,0
58,124383,OWN,32,EDUCATION,A,41075,6.88,0.33,N,19,0.35,0.75,8,6,0
27,138115,MORTGAGE,8,HOMEIMPROVEMENT,A,1394,18.69,0.01,N,5,0.3,0.71,5,7,0
54,21539,RENT,16,EDUCATION,A,18027,9.34,0.84,Y,26,0.17,0.14,2,8,1
58,24858,OWN,16,EDUCATION,E,17524,15.72,0.7,N,27,0.41,0.72,7,6,1
37,93609,MORTGAGE,0,VENTURE,B,21953,7.2,0.23,N,18,0.53,0.93,13,11,1
40,140382,MORTGAGE,2,MEDICAL,C,6555,14.5,0.05,N,11,0.39,0.78,1,11,0
55,106103,MORTGAGE,32,VENTURE,D,44663,11.28,0.42,Y,23,0.43,0.75,6,6,1
40,38313,MORTGAGE,21,VENTURE,A,24705,12.26,0.64,Y,21,0.05,0.25,10,5,1
63,105473,MORTGAGE,24,MEDICAL,C,31607,15.55,0.3,N,19,0.49,0.62,6,2,0
48,62056,MORTGAGE,23,PERSONAL,E,34272,19.99,0.55,N,9,0.32,0.38,9,6,1
59,121067,OWN,38,VENTURE,B,31066,16.06,0.26,N,19,0.29,0.66,9,3,0
42,140900,MORTGAGE,23,VENTURE,A,22792,10.32,0.16,N,15,0.19,0.61,11,0,0
50,96708,OWN,24,MEDICAL,B,31346,12.92,0.32,N,21,0.09,0.84,7,3,0
43,144958,MORTGAGE,24,EDUCATION,B,1068,18.95,0.01,N,1,0.48,0.58,8,0,0
54,76234,OWN,6,PERSONAL,A,48376,15.78,0.63,N,29,0.5,0.39,13,1,1
34,121069,MORTGAGE,6,VENTURE,A,47998,11.53,0.4,N,12,0.42,0.77,7,2,0
57,50226,OWN,27,VENTURE,B,48021,15.95,0.96,Y,7,0.18,0.81,14,5,1
61,78741,OWN,36,PERSONAL,D,18653,8.1,0.24,N,22,0.12,0.7,11,8,0
35,74633,MORTGAGE,6,VENTURE,D,38927,12.44,0.52,N,3,0.22,0.26,5,5,0
41,121721,RENT,13,EDUCATION,A,48523,7.99,0.4,Y,1,0.53,0.54,8,4,1
27,118762,OWN,3,HOMEIMPROVEMENT,D,33975,14.76,0.29,Y,2,0.48,0.51,9,11,1
52,42277,OWN,29,HOMEIMPROVEMENT,B,18676,15.69,0.44,Y,25,0.31,0.12,7,7,1
34,147878,OWN,9,MEDICAL,A,1414,7.48,0.01,N,6,0.11,0.16,1,11,0
36,51750,OWN,13,VENTURE,B,9264,11.16,0.18,N,3,0.15,0.69,2,3,0
40,24529,RENT,15,EDUCATION,A,13192,15.76,0.54,Y,11,0.3,0.49,4,5,1
44,68951,MORTGAGE,16,PERSONAL,A,14440,19.18,0.21,N,4,0.58,0.32,10,2,0
33,105150,OWN,8,VENTURE,E,40882,20.06,0.39,N,13,0.47,0.89,3,5,1
49,24595,MORTGAGE,26,HOMEIMPROVEMENT,A,16402,19.55,0.67,N,4,0.51,0.23,13,8,1
29,114540,RENT,3,EDUCATION,D,43262,9.01,0.38,N,7,0.51,0.35,7,6,1
35,112554,RENT,14,VENTURE,A,25665,19.23,0.23,N,13,0.28,0.56,9,8,0
43,85277,MORTGAGE,0,EDUCATION,C,39031,18.81,0.46,N,5,0.59,0.37,12,4,1
26,146250,RENT,4,EDUCATION,E,48723,11.51,0.33,Y,4,0.17,0.23,3,8,1
56,129326,RENT,22,HOMEIMPROVEMENT,A,17173,17.49,0.13,Y,21,0.16,0.11,5,11,1
28,99777,MORTGAGE,1,HOMEIMPROVEMENT,C,24902,17.89,0.25,N,8,0.33,0.71,11,3,0
53,100141,MORTGAGE,16,EDUCATION,C,34837,17.31,0.35,Y,16,0.08,0.42,8,7,1
52,71920,OWN,16,PERSONAL,C,3573,17.87,0.05,N,2,0.4,0.32,6,5,0
26,130186,RENT,2,HOMEIMPROVEMENT,B,48015,20.39,0.37,Y,3,0.24,0.89,2,0,1
58,146189,RENT,2,EDUCATION,B,3451,10.0,0.02,N,17,0.28,0.81,7,2,0
24,36984,MORTGAGE,4,PERSONAL,A,18449,12.28,0.5,N,3,0.39,0.56,1,8,0
63,114202,MORTGAGE,25,PERSONAL,B,3581,10.87,0.03,N,3,0.21,0.48,8,4,0
44,50177,RENT,24,PERSONAL,C,17679,19.67,0.35,Y,9,0.39,0.58,9,0,0
34,83332,RENT,8,MEDICAL,A,32559,20.58,0.39,Y,6,0.43,0.9,8,0,1
33,30040,RENT,13,EDUCATION,A,14110,21.31,0.47,Y,12,0.2,0.84,14,10,1
34,126885,RENT,0,EDUCATION,C,20797,19.86,0.16,N,11,0.23,0.68,6,3,0
25,144997,MORTGAGE,0,MEDICAL,C,30546,11.5,0.21,N,4,0.37,0.19,3,5,0
51,61340,MORTGAGE,11,VENTURE,A,44351,19.32,0.72,N,25,0.5,0.13,3,3,1
56,67475,MORTGAGE,17,HOMEIMPROVEMENT,B,6538,11.72,0.1,Y,26,0.39,0.87,7,9,1
48,68787,RENT,0,HOMEIMPROVEMENT,A,9905,18.41,0.14,Y,18,0.23,0.54,1,8,1
49,102197,RENT,3,HOMEIMPROVEMENT,D,8059,17.01,0.08,N,18,0.57,0.24,12,5,1
26,37862,MORTGAGE,1,VENTURE,A,10705,6.36,0.28,N,1,0.34,0.43,5,7,0
22,96979,OWN,3,PERSONAL,A,34062,12.47,0.35,N,3,0.06,0.71,8,9,0
37,64772,MORTGAGE,12,PERSONAL,B,45871,16.82,0.71,N,12,0.14,0.69,9,5,0
35,121532,MORTGAGE,7,VENTURE,C,15382,12.54,0.13,N,13,0.45,0.64,3,3,0
34,44054,OWN,13,VENTURE,D,21107,9.09,0.48,N,7,0.19,0.14,10,0,0
22,114712,RENT,1,PERSONAL,A,22251,19.49,0.19,Y,3,0.34,0.44,8,1,1
35,147521,RENT,5,HOMEIMPROVEMENT,D,32688,13.97,0.22,N,7,0.47,0.89,1,8,1
25,47740,OWN,0,PERSONAL,B,7569,10.4,0.16,N,2,0.43,0.6,4,7,1
39,94991,RENT,10,EDUCATION,A,10063,19.87,0.11,N,7,0.42,0.28,2,9,1
24,22187,RENT,3,VENTURE,E,3330,14.24,0.15,Y,1,0.25,0.4,4,7,1
52,65619,OWN,14,EDUCATION,D,20539,21.57,0.31,N,8,0.29,0.34,8,10,1
38,25974,MORTGAGE,14,MEDICAL,A,20680,16.49,0.8,Y,7,0.35,0.58,2,7,1
49,39897,OWN,3,VENTURE,A,38377,6.28,0.96,N,18,0.52,0.3,9,0,0
24,142444,MORTGAGE,0,EDUCATION,A,35764,6.06,0.25,N,3,0.29,0.22,10,2,0
39,24838,OWN,15,HOMEIMPROVEMENT,A,4134,9.94,0.17,Y,5,0.37,0.84,11,6,1
59,35675,MORTGAGE,4,EDUCATION,A,13693,11.62,0.38,N,6,0.34,0.91,7,6,0
60,60172,OWN,1,MEDICAL,B,2629,19.9,0.04,Y,10,0.33,0.26,1,9,1
43,35457,OWN,7,PERSONAL,B,4980,12.53,0.14,N,22,0.32,0.39,7,8,0
37,66233,MORTGAGE,7,EDUCATION,C,2172,19.38,0.03,N,6,0.52,0.67,3,6,1
37,108260,MORTGAGE,4,VENTURE,B,27297,12.7,0.25,Y,12,0.36,0.23,7,4,0
49,49717,MORTGAGE,0,MEDICAL,E,42756,11.19,0.86,N,26,0.18,0.74,5,6,1
62,54593,RENT,26,HOMEIMPROVEMENT,B,29500,11.6,0.54,Y,35,0.12,0.52,1,4,1
48,139682,MORTGAGE,10,HOMEIMPROVEMENT,C,7221,13.13,0.05,N,16,0.23,0.66,14,10,0
46,81264,OWN,6,VENTURE,C,32958,10.12,0.41,N,20,0.29,0.51,12,2,0
40,63298,RENT,4,MEDICAL,C,49328,14.85,0.78,N,2,0.38,0.43,9,7,0
29,110536,RENT,0,MEDICAL,A,4631,10.07,0.04,N,10,0.56,0.32,8,4,0
47,127327,RENT,1,VENTURE,A,45652,20.98,0.36,N,26,0.24,0.86,1,3,1
27,33601,OWN,4,PERSONAL,C,27662,19.51,0.82,N,3,0.06,0.62,11,3,0
26,24746,RENT,5,VENTURE,A,14217,13.76,0.57,N,4,0.05,0.28,12,5,0
21,120497,RENT,2,HOMEIMPROVEMENT,B,48280,12.03,0.4,N,2,0.26,0.92,11,0,0
52,31577,RENT,16,VENTURE,D,12618,16.74,0.4,N,29,0.26,0.66,12,5,0
43,40008,RENT,10,HOMEIMPROVEMENT,A,39185,14.78,0.98,N,18,0.27,0.59,11,0,0
33,69733,MORTGAGE,11,PERSONAL,A,42800,13.8,0.61,Y,8,0.08,0.63,11,8,1
41,130764,MORTGAGE,5,MEDICAL,B,46557,7.0,0.36,Y,4,0.14,0.72,2,2,0
32,52632,MORTGAGE,8,MEDICAL,D,24653,9.31,0.47,N,12,0.22,0.55,12,7,1
51,69862,RENT,16,PERSONAL,D,47290,10.59,0.68,N,3,0.55,0.21,13,1,1
54,145985,RENT,32,PERSONAL,C,34475,10.44,0.24,Y,20,0.57,0.35,2,6,1
57,86615,MORTGAGE,25,VENTURE,B,46278,10.82,0.53,Y,32,0.26,0.48,4,11,1
30,145812,RENT,0,EDUCATION,A,29927,12.73,0.21,N,1,0.23,0.32,3,4,0
55,106335,RENT,7,PERSONAL,D,10107,17.66,0.1,N,22,0.08,0.2,3,10,1
43,64569,RENT,1,VENTURE,B,27029,13.5,0.42,N,4,0.28,0.48,7,6,1
31,57389,RENT,4,HOMEIMPROVEMENT,B,34607,15.05,0.6,N,7,0.4,0.71,12,1,0
58,78001,OWN,4,HOMEIMPROVEMENT,C,17244,12.86,0.22,N,34,0.5,0.22,5,5,0
53,87136,RENT,4,HOMEIMPROVEMENT,C,39839,14.92,0.46,N,6,0.46,0.7,8,5,0
52,35174,MORTGAGE,18,HOMEIMPROVEMENT,E,22793,12.98,0.65,N,19,0.16,0.49,10,0,0
34,78122,OWN,12,VENTURE,B,34953,16.56,0.45,Y,8,0.21,0.53,11,3,1
48,127772,MORTGAGE,8,EDUCATION,A,5942,14.64,0.05,N,10,0.15,0.62,7,11,0
34,65986,RENT,11,HOMEIMPROVEMENT,A,10305,20.31,0.16,N,15,0.46,0.53,4,3,0
21,20042,RENT,1,HOMEIMPROVEMENT,A,2577,15.2,0.13,Y,2,0.09,0.18,10,6,1
39,25315,RENT,5,EDUCATION,B,10497,21.25,0.41,N,7,0.51,0.49,7,8,1
38,144544,RENT,0,PERSONAL,A,13055,18.92,0.09,N,5,0.07,0.81,7,7,1
36,128177,MORTGAGE,14,VENTURE,C,20589,21.11,0.16,N,4,0.43,0.2,13,10,1
30,50104,MORTGAGE,4,EDUCATION,C,38594,16.61,0.77,N,2,0.43,0.12,1,3,1
27,108794,MORTGAGE,2,HOMEIMPROVEMENT,C,2168,10.87,0.02,N,1,0.26,0.75,12,6,0
59,121311,MORTGAGE,26,VENTURE,E,15325,7.2,0.13,Y,28,0.31,0.93,2,4,1
41,64789,MORTGAGE,10,HOMEIMPROVEMENT,B,27086,8.0,0.42,N,17,0.42,0.5,10,11,1
34,131451,OWN,9,PERSONAL,D,19263,20.48,0.15,N,11,0.54,0.42,11,9,1
63,135237,MORTGAGE,5,HOMEIMPROVEMENT,E,29558,16.9,0.22,N,5,0.28,0.9,7,11,1
61,140400,OWN,29,MEDICAL,B,9245,6.84,0.07,N,19,0.11,0.94,1,3,0
34,120271,MORTGAGE,0,HOMEIMPROVEMENT,B,25816,20.75,0.21,N,2,0.37,0.16,5,9,1
41,108913,MORTGAGE,2,EDUCATION,C,46971,11.7,0.43,N,13,0.3,0.46,5,4,0
55,105683,OWN,31,HOMEIMPROVEMENT,A,24991,7.49,0.24,N,33,0.54,0.26,12,9,0
55,47262,RENT,24,VENTURE,E,38340,19.23,0.81,Y,12,0.21,0.91,2,7,1
32,77676,RENT,8,VENTURE,B,33463,21.81,0.43,N,3,0.34,0.95,10,2,1
29,103040,OWN,0,EDUCATION,B,31041,21.45,0.3,N,5,0.39,0.67,2,1,0
55,117799,OWN,23,HOMEIMPROVEMENT,E,13242,10.73,0.11,N,27,0.38,0.23,12,11,0
55,90592,OWN,34,MEDICAL,C,48716,21.55,0.54,N,3,0.47,0.58,14,6,1
56,125752,MORTGAGE,22,PERSONAL,A,20403,9.82,0.16,Y,37,0.29,0.84,2,10,1
63,85333,OWN,8,PERSONAL,B,6463,7.39,0.08,N,41,0.5,0.55,11,6,0
21,41883,MORTGAGE,2,EDUCATION,D,33974,11.33,0.81,N,1,0.54,0.33,10,7,1
60,135284,MORTGAGE,1,PERSONAL,C,42605,18.63,0.31,N,30,0.14,0.17,1,10,1
56,99923,OWN,16,PERSONAL,C,16154,7.23,0.16,N,14,0.24,0.22,1,8,0
57,34745,MORTGAGE,34,MEDICAL,A,14921,16.44,0.43,Y,16,0.42,0.63,12,5,1
53,93251,RENT,32,VENTURE,C,32770,11.45,0.35,N,32,0.47,0.52,6,0,0
59,101384,MORTGAGE,3,EDUCATION,A,48645,7.28,0.48,N,11,0.49,0.88,4,1,1
42,88684,OWN,15,MEDICAL,E,8933,14.98,0.1,N,11,0.23,0.88,10,11,1
58,100206,MORTGAGE,14,VENTURE,A,38438,7.01,0.38,N,20,0.07,0.92,9,7,0
44,117201,RENT,17,VENTURE,E,22951,19.68,0.2,N,12,0.15,0.34,1,3,0
59,95697,OWN,29,VENTURE,A,33277,11.07,0.35,N,20,0.09,0.31,10,2,0
51,73238,RENT,7,EDUCATION,A,16029,8.36,0.22,N,17,0.06,0.27,14,9,0
34,110027,RENT,1,PERSONAL,D,5830,8.28,0.05,N,7,0.09,0.63,9,11,1
24,132121,MORTGAGE,3,HOMEIMPROVEMENT,D,15260,8.38,0.12,N,5,0.25,0.19,3,9,0
48,89569,RENT,17,PERSONAL,A,18087,6.77,0.2,N,9,0.53,0.94,13,8,1
47,46148,OWN,13,EDUCATION,A,43608,6.22,0.94,N,16,0.35,0.24,4,2,0
56,26704,MORTGAGE,8,PERSONAL,B,2971,15.47,0.11,Y,22,0.36,0.79,1,0,0
41,46627,RENT,6,HOMEIMPROVEMENT,D,45910,19.09,0.98,N,17,0.54,0.94,1,11,1
64,50194,MORTGAGE,21,VENTURE,C,4358,19.67,0.09,Y,21,0.14,0.73,2,2,0
47,77520,MORTGAGE,0,MEDICAL,C,26318,19.35,0.34,Y,13,0.15,0.53,11,5,1
48,41976,RENT,6,VENTURE,C,24776,10.35,0.59,Y,27,0.28,0.8,9,2,1
56,38020,OWN,27,MEDICAL,D,4583,14.83,0.12,N,21,0.17,0.37,2,6,0
44,130616,RENT,6,PERSONAL,A,6299,12.7,0.05,Y,24,0.22,0.76,11,5,0
44,104983,OWN,23,PERSONAL,D,25288,21.51,0.24,Y,25,0.14,0.27,2,10,1
58,136634,OWN,33,PERSONAL,E,48118,11.67,0.35,N,21,0.58,0.63,14,5,0
21,130379,OWN,1,EDUCATION,D,41741,21.89,0.32,N,2,0.28,0.53,10,10,1
53,68232,OWN,26,EDUCATION,A,16636,19.59,0.24,N,21,0.36,0.24,9,9,0
36,106900,RENT,4,EDUCATION,E,38259,11.26,0.36,N,4,0.57,0.76,7,4,0
25,65890,RENT,2,VENTURE,A,33888,17.48,0.51,N,5,0.59,0.1,13,1,1
51,50733,MORTGAGE,32,MEDICAL,B,49632,11.59,0.98,N,31,0.6,0.92,13,2,1
39,131895,OWN,12,PERSONAL,A,10371,16.44,0.08,N,18,0.17,0.53,1,3,0
49,127076,OWN,20,EDUCATION,B,26823,18.19,0.21,N,24,0.59,0.32,7,0,0
50,84595,MORTGAGE,2,EDUCATION,B,44094,21.13,0.52,N,26,0.33,0.83,1,4,1
36,104511,OWN,1,HOMEIMPROVEMENT,B,28097,19.53,0.27,N,6,0.16,0.29,8,10,1
59,54911,MORTGAGE,23,EDUCATION,B,24190,20.89,0.44,Y,37,0.18,0.68,7,8,1
58,20244,OWN,20,VENTURE,B,14917,15.67,0.74,Y,27,0.07,0.87,8,6,1
51,44074,RENT,22,PERSONAL,A,30825,17.22,0.7,N,27,0.56,0.67,5,9,1
33,79204,OWN,11,EDUCATION,A,26293,7.49,0.33,Y,6,0.37,0.84,13,4,1
31,138558,MORTGAGE,0,VENTURE,B,45527,15.65,0.33,N,7,0.11,0.6,11,4,0
43,50161,MORTGAGE,0,EDUCATION,C,5507,12.69,0.11,N,18,0.2,0.17,8,10,0
62,67249,OWN,16,VENTURE,B,47365,6.81,0.7,Y,21,0.27,0.39,11,4,1
33,83027,RENT,9,EDUCATION,B,39985,14.71,0.48,Y,13,0.3,0.39,2,0,1
56,53872,RENT,23,VENTURE,A,21583,8.88,0.4,Y,6,0.56,0.69,7,8,1
33,76378,MORTGAGE,6,VENTURE,A,6585,12.42,0.09,N,14,0.54,0.8,11,8,0
41,101976,OWN,22,VENTURE,A,2875,9.4,0.03,N,2,0.11,0.21,6,3,0
39,126034,RENT,3,PERSONAL,A,17979,7.62,0.14,N,2,0.36,0.2,7,6,0
47,91792,RENT,16,EDUCATION,A,9367,16.69,0.1,N,8,0.56,0.34,13,1,0
45,51655,RENT,23,EDUCATION,E,7683,9.95,0.15,Y,3,0.23,0.72,4,10,1
21,55282,RENT,1,VENTURE,B,32891,18.74,0.59,N,1,0.47,0.38,6,3,1
23,129241,RENT,2,EDUCATION,D,30265,9.31,0.23,N,4,0.46,0.3,11,11,1
26,84166,RENT,3,VENTURE,B,27390,19.15,0.33,N,2,0.1,0.47,11,7,0
33,115402,MORTGAGE,4,MEDICAL,B,48764,6.73,0.42,N,1,0.33,0.62,9,3,0
64,106478,OWN,35,EDUCATION,A,25251,7.83,0.24,N,22,0.5,0.33,3,5,0
46,62903,OWN,16,PERSONAL,A,42506,13.02,0.68,N,13,0.23,0.75,10,2,0
52,26102,MORTGAGE,32,EDUCATION,E,20711,13.76,0.79,Y,18,0.36,0.9,10,2,1
35,24132,RENT,7,PERSONAL,B,3670,11.37,0.15,N,9,0.19,0.84,6,5,0
54,72185,RENT,30,HOMEIMPROVEMENT,B,15685,10.34,0.22,Y,29,0.5,0.2,12,8,1
33,38546,MORTGAGE,12,PERSONAL,A,8319,18.64,0.22,Y,13,0.45,0.74,3,6,1
27,145639,RENT,4,HOMEIMPROVEMENT,A,9680,9.71,0.07,N,4,0.1,0.78,1,7,0
61,42184,OWN,10,HOMEIMPROVEMENT,A,36133,21.56,0.86,N,31,0.53,0.49,6,5,1
49,111820,RENT,7,PERSONAL,A,37693,16.1,0.34,Y,2,0.44,0.77,13,0,1
36,89310,RENT,9,MEDICAL,C,38695,18.68,0.43,N,13,0.56,0.82,2,3,1
43,146202,MORTGAGE,23,EDUCATION,A,15364,11.18,0.11,Y,22,0.31,0.74,13,1,0
51,135053,RENT,10,PERSONAL,C,5531,18.39,0.04,N,7,0.48,0.4,10,4,0
59,75235,RENT,34,EDUCATION,E,48922,7.54,0.65,Y,31,0.28,0.26,5,0,1
33,69282,RENT,3,HOMEIMPROVEMENT,C,2499,19.09,0.04,N,11,0.09,0.93,13,11,1
34,59029,OWN,9,HOMEIMPROVEMENT,A,10096,21.14,0.17,N,15,0.42,0.25,7,7,1
50,72648,MORTGAGE,12,VENTURE,A,31180,16.46,0.43,N,7,0.15,0.34,6,1,0
35,133218,MORTGAGE,1,MEDICAL,C,47688,21.01,0.36,N,7,0.46,0.8,2,10,1
59,24895,RENT,32,EDUCATION,A,18396,19.22,0.74,Y,38,0.14,0.15,4,0,1
25,91033,MORTGAGE,5,VENTURE,E,14751,18.5,0.16,Y,1,0.18,0.67,4,7,1
41,96034,MORTGAGE,14,PERSONAL,B,33852,10.16,0.35,Y,14,0.3,0.69,13,6,1
31,31628,RENT,7,PERSONAL,B,5553,20.02,0.18,Y,11,0.32,0.81,2,10,1
58,55268,RENT,22,VENTURE,C,26563,15.77,0.48,Y,15,0.3,0.53,3,8,1
43,91537,OWN,9,VENTURE,C,5567,6.62,0.06,N,13,0.09,0.48,1,4,0
35,48317,MORTGAGE,1,MEDICAL,A,36242,10.36,0.75,Y,13,0.35,0.68,7,6,1
38,124716,MORTGAGE,4,HOMEIMPROVEMENT,A,45593,8.87,0.37,N,16,0.21,0.78,9,0,0
35,108741,RENT,14,HOMEIMPROVEMENT,C,9412,12.2,0.09,Y,3,0.16,0.91,2,7,1
54,47281,OWN,17,VENTURE,B,31469,14.69,0.67,N,1,0.22,0.66,10,10,0
51,98712,OWN,25,PERSONAL,D,14546,18.87,0.15,Y,1,0.06,0.32,9,0,1
55,90994,MORTGAGE,28,MEDICAL,A,3699,21.78,0.04,N,30,0.14,0.38,9,7,0
33,79799,RENT,13,VENTURE,B,31593,6.61,0.4,N,12,0.48,0.31,6,11,0
42,100077,OWN,15,HOMEIMPROVEMENT,A,47435,15.69,0.47,N,1,0.51,0.62,6,2,1
59,50985,RENT,19,VENTURE,D,8991,20.82,0.18,Y,29,0.36,0.42,4,9,1
61,131562,RENT,24,EDUCATION,C,36545,13.16,0.28,N,36,0.23,0.59,11,8,0
